"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/export/TOC.md","","","","","",""
"help/export/home.md","Analytics Export Guide","This guide outlines ways to get data out of Adobe Analytics using data feeds and Data Warehouse.","","","",""
"help/export/analytics-data-feed/data-feed-overview.md","Analytics Data Feed overview","Data that is collected from web sites, mobile apps, or is uploaded using web service APIs or data sources, is processed and stored in Adobe's Data Warehouse. This raw clickstream data forms the data set that is used by Adobe Analytics.","","","",""
"help/export/analytics-data-feed/create-feed.md","Create or edit a data feed","Learn how to create or edit a data feed.","","","",""
"help/export/analytics-data-feed/df-manage-feeds.md","Data feed UI","Learn how to navigate the data feed interface.","","","",""
"help/export/analytics-data-feed/df-manage-jobs.md","Manage data feed jobs","Learn how to manage individual jobs in data feeds.","","","",""
"help/export/analytics-data-feed/c-df-contents/datafeeds-contents.md","Data Feed contents - overview","This section describes the files found in a data feed delivery.","","Reports and analytics","",""
"help/export/analytics-data-feed/c-df-contents/datafeeds-calculate.md","Calculate metrics","Describes how to calculate common metrics using data feeds.","","Reports and analytics","",""
"help/export/analytics-data-feed/c-df-contents/datafeeds-reference.md","Data column reference","Table data describing the columns in the data feed.","","Reports and analytics","",""
"help/export/analytics-data-feed/c-df-contents/datafeeds-page-event.md","Page Event Lookup","Lookup table to determine the type of a hit based on the page_event value.","","Reports and analytics","",""
"help/export/analytics-data-feed/c-df-contents/mobile-attributes-lookup.md","Mobile attributes lookup","Lookup file for mobile attributes.","","","",""
"help/export/analytics-data-feed/c-df-contents/datafeeds-spec-chars.md","Special characters in data feeds","Information about special characters used in the data feed.","","Reports and analytics","",""
"help/export/analytics-data-feed/c-df-contents/late-arriving-hits.md","Late arriving hits","Learn how data feeds treat late arriving hits.","","","",""
"help/export/analytics-data-feed/df-faq.md","Data feeds FAQ","Frequently asked questions around data feeds","","","",""
"help/export/analytics-data-feed/data-feeds-best-practices.md","Best Practices and General Information","Following are some best practices for data feed processing and delivery. You should ","","","",""
