filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/analyze/TOC.md,,,,,,
help/analyze/home.md,Analytics Tools Guide,"Product documentation and self-help for Analysis Workspace, Adobe Analytics dashboards, Activity Map, Report Builder, Reporting API, and Reports & Analytics.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/home.md,What is Analysis Workspace and how do I use it?,"Analysis Workspace is the premier analysis tool for Adobe Analytics. It lets you use panels, tables, visualizations, and other components to bring data to life, curate a dataset, share and schedule projects, among other capabilities.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/new-features-in-analysis-workspace.md,What's New in Analysis Workspace,New features in Analysis Workspace.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/freeform-overview.md,Projects overview,Learn the basics of working in a Workspace project.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/save-projects.md,Save projects,"Learn about the different save options, including autosave, save as, and save as template.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/starter-projects.md,Templates,Create workspace projects based on standard or custom templates.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/multiple-report-suites.md,Multiple report suites,Learn how and why to create projects in Workspace with multiple report suites,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/fa-shortcut-keys.md,Hotkeys (shortcuts),"Keyboard interactions, shortcut keys and point-and-click behaviors available in Analysis Workspace.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/color-palettes.md,What are Visualization Color Palettes and How do they Work?,How to use the visualization color palette in Analysis Workspace,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/build-workspace-project/view-density.md,View Density,Learn how to adjust the view density.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/analysis-workspace-components.md,Components overview,"Components in Analysis Workspace consist of dimensions, metrics, segments, and date ranges that you can drag-and-drop onto a project. ",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/dimensions/view-dimensions.md,Preview dimensions,View the top values of a dimension before using it in a project.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/dimensions/t-breakdown-fa.md,Break down dimensions,Break down dimensions and dimension items in Analysis Workspace.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/dimensions/time-parting-dimensions.md,Time-parting dimensions,"Time parting takes the timestamp of collected hits and breaks it into more meaningful dimensions, such as ""Hour of Day"" or ""Day of Week"".",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/apply-create-metrics.md,Metrics,There are two ways to use metrics in Analysis Workspace.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/t-freeform-project-segment.md,Segments,Use segments in Analysis Workspace.,Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/calendar-date-ranges/calendar.md,Calendar and date ranges overview,"In the calendar, you can specify dates and date ranges, or select a preset.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/calendar-date-ranges/custom-date-ranges.md,Create custom date ranges,"Create custom date ranges in Analysis Workspace, and save them as Time components.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/components/calendar-date-ranges/time-comparison.md,Date comparison,"Date Comparison in Analysis Workspace lets you take any column containing a date range and create a common date comparison, such as  year-over-year, quarter-over-quarter, month-over-month, etc.",Workspace Basics,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-analysis-visualizations.md,Visualizations overview,Visually represent your data with visualizations.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/t-sync-visualization.md,Manage data sources,Synchronizing visualizations lets you control which data table or data source corresponds to a visualization.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/freeform-table.md,Freeform table,Freeform tables are the foundation for data analysis in Workspace,Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/column-row-settings/column-settings.md,Column settings,"Column settings let you configure column formatting, some of which can be conditional.",Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/column-row-settings/table-settings.md,Row settings,Row settings vary depending on which component you have dragged into the table.,Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/column-row-settings/manual-vs-dynamic-rows.md,Dynamic vs static dimension items in freeform tables,How to interact with dynamic and static dimension items in tables.,Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/pagination-filtering-sorting.md,"Pagination, filtering and sorting tables","Video discussing pagination, filtering and sorting.",Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/freeform-table/workspace-totals.md,Workspace totals,How Workspace totals are calculated.,Freeform Tables,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/cohort-table/cohort-analysis.md,What is Cohort Analysis and how does it work?,Dig deeper into the data around your audience and break into related groups with Cohort Analysis. Learn about cohort analysis in Analysis Workspace.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/cohort-table/t-cohort.md,Run a cohort analysis report,Create a cohort and run a cohort analysis report in Analysis Workspace.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/cohort-table/cohort-use-cases.md,Cohort analysis use cases,Use case examples for cohort analysis.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/fallout/fallout-flow.md,Fallout overview,Use the fallout visualization in a Workspace project.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/fallout/configuring-fallout.md,Configure a fallout visualization,Configure a fallout visualization.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/fallout/configuring-interdimensional-fallout.md,Inter-dimensional fallout,Fallout in Analysis Workspace lets you to mix and match dimensions and metrics as touchpoints in funnels and workflows. This gives you more flexibility in defining the user steps you want to investigate.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/fallout/compare-segments-fallout.md,Apply segments in fallout analysis,"You can create segments from a touchpoint, add segments as touchpoint, and compare key workflows across various segments in Analysis Workspace.",Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/c-flow/flow.md,Flow overview,Use the flow visualization in a Workspace project.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/c-flow/creating-flow-report.md,Configure a flow visualization,Use the flow visualization in a Workspace project.,Visualizations,,"Business Practitioner, Administrator",
help/analyze/analysis-workspace/visualizations/c-flow/flow-settings.md,Flow settings,Use the flow visualization in a Workspace project.,Visualizations,,"Business Practitioner, Administrator",
