"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/import/TOC.md","","","","","",""
"help/import/home.md","Analytics Import Guide","This guide explains how to get data into Analytics using Data Sources, Data Insertion API, and Data Connectors.","","","",""
"help/import/c-data-sources/datasrc-home.md","What are Data Sources and how do they benefit me?","Adobe Analytics data sources lets you manually import additional online or offline data for reporting.","","","",""
"help/import/c-data-sources/datasrc-how-data-sources-works.md","How Data Sources works","Information about how Adobe provides access to Data Sources.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-requirements.md","Requirements and upload limits","Information about the requirements for your report suite before using Data Sources.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-processing-time.md","Data Sources processing time","Information around the length of time Adobe takes to process data sources.","","","",""
"help/import/c-data-sources/datasrc-preparing.md","Preparing to use Data Sources","Steps you can take to prepare to use data sources","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-manager.md","Data Sources Manager","Create, manage, and view the use of data sources in a report suite.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-template/datasrc-template-file.md","Data Sources template overview","Information about the Data Sources template, which provides a data framework suitable for submitting a specific set of external data to Data Sources.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-template/t-datasrc-creating-data-sources-file.md","Generate an import file template","The import template file is designed to get you started with the import.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-template/datasrc-import-file-reference.md","Import file reference","Information about the Data Source .txt template.","","Developer and implementation","",""
"help/import/c-data-sources/t-datasrc-uploading-data.md","Upload a Data Sources file","Steps that describe how to upload a data sources file.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-categories.md","Overview of data types and categories","Data source categories identify different data source types that provide similar functionality.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-web-log.md","Web log","Web Log data sources let you import standard web server log files.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-traffic.md","Traffic","The Traffic Data source has been deprecated and no longer works.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-conversion.md","Conversion","Data Sources supports the following conversion data dimensions and metrics for data types that are processed as conversion.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-transactionid.md","Transaction ID data sources","Learn the general workflow of using transaction ID data sources.","","","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-visitorid.md","Visitor ID","Visitor IDs can be integrated by selecting the Generic (Transaction ID) category.","","Developer and implementation","",""
"help/import/c-data-sources/c-datasrc-types/datasrc-full-processing.md","Full processing","Data Sources supports the following variables when processing data as a standard server call (Generic > Full Processing).","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-integrating-offline-data.md","Transaction and customer integration","Data sources provides two additional ways to integrate events that occur offline to your online data.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-tid-visitor-profile.md","Transaction ID and visitor profiles","Use transaction ID in data sources to link online and offline data together.","","Developer and implementation","",""
"help/import/c-data-sources/datasrc-faq.md","Data Sources FAQ","This topic provides answers to common questions.","","Developer and implementation","",""
"help/import/c-data-insertion-api/c-data-insertion-api.md","Data Insertion API","Link to the Data insertion API documentation.","","","",""
"help/import/data-connectors/getting-started-data-connectors.md","Getting Started with Analytics data connectors","Import tracking data from third-party applications into Analytics.","","","",""
"help/import/data-connectors/data-connectors-eol.md","End-of-life pre-announcement for Analytics data connectors","Lean about when and why Analytics data connectors will be end-of-lifed.","","","",""
"help/import/data-connectors/appfigures-overview/appfigures-overview.md","appFigures Data Connector for Adobe Analytics","This Adobe data connectors integration combines the power of the appFigures integrated mobile app store analytics and the direct app tracking of Adobe Analytics to create powerful analytics and optimization opportunities for your organization.","","","",""
"help/import/data-connectors/appfigures-overview/appfigures-before-activation.md","Before You Activate This Integration","Before activating this integration, review the following items against your deployments of Adobe Analytics® and your email software.","","","",""
"help/import/data-connectors/appfigures-overview/t-appfigures-integration.md","Configure the Integration","The data connectors Integration Wizard steps you through the data connectors integration process.","","","",""
"help/import/data-connectors/appfigures-overview/appfigures-metrics.md","Metrics and Dimensions","The following metrics are synchronized as part of the appFigures integration.","","","",""
"help/import/data-connectors/appfigures-overview/appfigures-segment-filter.md","Segmenting App Data","An appFigures integration is often used to collect data for multiple applications across multiple app stores. You can create segments to isolate report data for a specific app or app store.","","","",""
