"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/admin/TOC.md","","","","","",""
"help/admin/home.md","Analytics Admin Guide","Administration help for Adobe Analytics administrators, including user and product management in the Admin Console, setting up report suites, variables, classifications, and data collection.","","","",""
"help/admin/c-analytics-product-comparison/which-analytics-tool.md","Which Adobe Analytics tool should I use?","This help page contains recommended use cases for each Adobe Analytics tool. Tools should be considered in the order they are listed. If a certain tool does not meet the need, move to the next one for consideration.","","","",""
"help/admin/c-analytics-product-comparison/analytics-product-comparison.md","Analytics product comparison and requirements","System requirements and a comparison of Analysis Workspace, Reports & Analytics, Report Builder, Data Warehouse, and Data Workbench","","","",""
"help/admin/sys-reqs.md","System requirements","The system requirements to use Adobe Analytics.","","","",""
"help/admin/admin/c-admin-tools.md","Admin Tools","Index of Admin tools in Adobe Analytics.","","","",""
"help/admin/admin/billing-admin.md","Billing","The Billing page lets you access billing information, including traffic details for each report suite. Only an authorized administrator has access to this page.","","Admin tools","",""
"help/admin/admin/bot-removal/bot-removal.md","Bot removal in Adobe Analytics","3 ways to remove bots in Adobe Analytics","","","",""
"help/admin/admin/bot-removal/bot-rules.md","Bot Rules overview","Bot Rules let you remove traffic that is generated by known spiders and bots from your report suite. Removing bot traffic can provide a more accurate measurement of user activity on your website.","","Admin tools","",""
"help/admin/admin/bot-removal/bot-signatures.md","Common bot signatures","Recognize the common identifiers of bots.","","","",""
"help/admin/admin/bot-removal/bot-exclusion-methods.md","Comparison of different bot exclusion methods","Lets you compare different methods of excluding bots.","","","",""
"help/admin/admin/code-manager-admin.md","Code Manager","Code manager lets you download data collection code for web and mobile platforms.","","Admin tools","",""
"help/admin/admin/conversion-var-admin/conversion-var-admin.md","Conversion Variables (eVar)","The Custom Insight Conversion Variable (or eVar) is placed in the Adobe code on selected web pages of your site. Its primary purpose is to segment conversion success metrics in custom marketing reports. An eVar can be visit-based and function similarly to cookies. Values passed into eVar variables follow the user for a predetermined period of time.","","Admin tools","",""
"help/admin/admin/conversion-var-admin/t-conversion-variables-admin.md","Edit conversion variables","Steps that describe how to add or edit conversion variables.","","Admin tools","",""
